,Player,surface,DeepReturnsRatio,L,MatchCount,ReturnsFirstServe,ReturnsSecondServe,Total,W,WinRatio
0,Adrian Mannarino,All,42.8,530.0,40.0,29.5,46.2,676.0,146.0,21.6
1,Albert Ramos,All,43.3,418.0,29.0,26.8,45.4,519.0,101.0,19.5
2,Alexandr Dolgopolov,All,46.4,508.0,36.0,27.3,42.7,662.0,154.0,23.3
3,Andreas Seppi,All,39.3,726.0,48.0,27.0,43.4,925.0,199.0,21.5
4,Andy Murray,All,36.0,1730.0,154.0,34.7,50.4,2583.0,853.0,33.0
5,Benoit Paire,All,43.4,687.0,47.0,31.0,39.9,882.0,195.0,22.1
6,Bernard Tomic,All,39.6,934.0,62.0,25.4,40.6,1136.0,202.0,17.8
7,David Ferrer,All,40.8,1209.0,109.0,34.8,49.5,1802.0,593.0,32.9
8,David Goffin,All,40.8,667.0,54.0,31.7,48.6,921.0,254.0,27.6
9,Denis Istomin,All,42.3,548.0,36.0,23.7,41.7,642.0,94.0,14.6
10,Dominic Thiem,All,45.5,674.0,51.0,30.7,45.5,902.0,228.0,25.3
11,Donald Young,All,32.3,491.0,36.0,25.6,41.2,632.0,141.0,22.3
12,Ernests Gulbis,All,40.9,492.0,35.0,27.7,43.1,605.0,113.0,18.7
13,Fabio Fognini,All,42.1,676.0,51.0,30.6,46.1,908.0,232.0,25.6
14,Feliciano Lopez,All,45.2,878.0,59.0,27.1,39.2,1054.0,176.0,16.7
15,Fernando Verdasco,All,41.1,923.0,60.0,29.7,45.2,1180.0,257.0,21.8
16,Florian Mayer,All,39.2,353.0,27.0,23.3,32.9,423.0,70.0,16.5
17,Gael Monfils,All,38.0,1036.0,77.0,33.2,44.9,1409.0,373.0,26.5
18,Gilles Muller,All,42.0,559.0,31.0,20.8,37.2,622.0,63.0,10.1
19,Gilles Simon,All,39.4,978.0,74.0,31.8,50.0,1362.0,384.0,28.2
20,Grigor Dimitrov,All,43.8,843.0,64.0,31.7,46.7,1096.0,253.0,23.1
21,Guillermo Garcia Lopez,All,41.1,479.0,35.0,29.3,43.5,609.0,130.0,21.3
22,Ivo Karlovic,All,46.9,620.0,32.0,18.4,32.6,679.0,59.0,8.7
23,Jack Sock,All,38.9,613.0,44.0,27.8,44.4,765.0,152.0,19.9
24,Janko Tipsarevic,All,41.6,524.0,39.0,26.1,45.9,662.0,138.0,20.8
25,Jeremy Chardy,All,40.3,701.0,49.0,25.5,44.7,859.0,158.0,18.4
26,Jerzy Janowicz,All,46.0,560.0,35.0,25.1,38.6,675.0,115.0,17.0
27,Jo Wilfried Tsonga,All,43.5,1364.0,103.0,30.7,43.4,1783.0,419.0,23.5
28,Joao Sousa,All,39.7,362.0,26.0,26.9,41.4,446.0,84.0,18.8
29,John Isner,All,41.3,1468.0,81.0,22.9,36.3,1673.0,205.0,12.3
30,Juan Martin Del Potro,All,37.2,957.0,73.0,30.4,45.8,1262.0,305.0,24.2
31,Juan Monaco,All,27.8,351.0,27.0,29.9,44.0,457.0,106.0,23.2
32,Julien Benneteau,All,36.0,575.0,37.0,22.3,42.2,716.0,141.0,19.7
33,Kei Nishikori,All,39.8,1136.0,92.0,30.2,47.9,1589.0,453.0,28.5
34,Kevin Anderson,All,42.2,1187.0,75.0,25.2,41.3,1399.0,212.0,15.2
35,Kyle Edmund,All,36.7,337.0,26.0,26.2,46.6,423.0,86.0,20.3
36,Leonardo Mayer,All,49.3,488.0,33.0,25.7,42.4,576.0,88.0,15.3
37,Lleyton Hewitt,All,41.1,495.0,32.0,32.4,52.3,656.0,161.0,24.5
38,Lucas Pouille,All,38.1,497.0,32.0,25.8,43.7,626.0,129.0,20.6
39,Marcel Granollers,All,42.1,485.0,34.0,28.5,40.0,586.0,101.0,17.2
40,Marcos Baghdatis,All,39.2,719.0,51.0,26.5,42.6,899.0,180.0,20.0
41,Marin Cilic,All,40.0,1195.0,91.0,32.2,46.9,1583.0,388.0,24.5
42,Mikhail Kukushkin,All,42.4,353.0,26.0,31.3,45.5,471.0,118.0,25.1
43,Mikhail Youzhny,All,44.8,583.0,42.0,24.7,41.1,735.0,152.0,20.7
44,Milos Raonic,All,37.9,1381.0,93.0,28.1,41.8,1690.0,309.0,18.3
