Player,surface,AvgFirstServe,AvgSecondServe,FirstServeIn,L,LoseRatio,MatchCount,RatioPtsLess4,ServeFirstServePointsWon,ServeSecondServePointsWon,Total,W,WinRatio
Adrian Mannarino,All,173.7,138.9,63.0,187.0,0.27994011976047906,40.0,70.0,68.4,56.2,668.0,481.0,72.0
Albert Ramos,All,170.6,141.7,63.2,119.0,0.23196881091617932,29.0,69.9,68.7,60.4,513.0,394.0,76.8
Alexandr Dolgopolov,All,184.6,151.6,58.4,135.0,0.20516717325227962,36.0,72.9,74.3,57.8,658.0,523.0,79.5
Andreas Seppi,All,183.2,145.8,57.3,192.0,0.2100656455142232,48.0,71.1,75.3,56.1,914.0,722.0,79.0
Andy Murray,All,182.4,138.4,60.6,427.0,0.16211085801063022,154.0,78.1,75.8,58.2,2634.0,2207.0,83.8
Benoit Paire,All,185.3,147.6,53.4,230.0,0.26436781609195403,47.0,66.6,72.5,55.5,870.0,640.0,73.6
Bernard Tomic,All,178.8,145.9,67.0,203.0,0.17636837532580366,62.0,75.8,73.4,53.2,1151.0,948.0,82.4
David Ferrer,All,177.4,151.6,62.9,347.0,0.19171270718232045,109.0,74.2,70.9,59.2,1810.0,1463.0,80.8
David Goffin,All,176.7,143.6,56.4,193.0,0.2130242825607064,54.0,78.1,74.5,59.4,906.0,713.0,78.7
Denis Istomin,All,183.5,144.5,65.5,151.0,0.2298325722983257,36.0,73.7,70.3,55.8,657.0,506.0,77.0
Dominic Thiem,All,184.2,154.4,58.4,153.0,0.16906077348066298,51.0,74.1,75.2,59.3,905.0,752.0,83.1
Donald Young,All,171.0,141.6,62.2,193.0,0.3048973143759874,36.0,66.9,67.3,54.1,633.0,440.0,69.5
Ernests Gulbis,All,201.7,168.9,59.2,115.0,0.18578352180936994,35.0,70.9,76.1,61.0,619.0,504.0,81.4
Fabio Fognini,All,171.7,138.4,58.4,235.0,0.26082130965593786,51.0,67.4,70.3,58.6,901.0,666.0,73.9
Feliciano Lopez,All,195.3,163.9,57.9,204.0,0.19172932330827067,59.0,71.6,75.7,56.5,1064.0,860.0,80.8
Fernando Verdasco,All,177.8,147.2,65.3,216.0,0.18588640275387264,60.0,73.1,71.4,58.7,1162.0,946.0,81.4
Florian Mayer,All,183.4,139.9,62.8,106.0,0.25790754257907544,27.0,73.2,68.3,52.3,411.0,305.0,74.2
Gael Monfils,All,184.9,155.2,64.0,267.0,0.18895966029723993,77.0,75.9,74.3,59.7,1413.0,1146.0,81.1
