Player,surface,AvgFirstServe,AvgSecondServe,FirstServeIn,L,LoseRatio,MatchCount,RatioPtsLess4,ServeFirstServePointsWon,ServeSecondServePointsWon,Total,W,WinRatio
Joao Sousa,All,179.6,145,64.2,121,0.274376417,26,69.6,69.8,49.8,441,320,72.6
Kyle Edmund,All,184.4,148.8,58.8,86,0.202352941,26,76.2,73.7,56.2,425,339,79.8
Mikhail Kukushkin,All,174.5,137.5,63.7,132,0.285097192,26,70.8,67.6,53,463,331,71.5
Santiago Giraldo,All,181.9,149.1,62.7,128,0.280087527,26,62.6,69.3,50.2,457,329,72
Tommy Haas,All,171.6,152.8,63.6,96,0.21719457,26,69.9,71.1,63.7,442,346,78.3
Florian Mayer,All,183.4,139.9,62.8,106,0.257907543,27,73.2,68.3,52.3,411,305,74.2
Juan Monaco,All,166.3,144.5,73.1,130,0.280172414,27,69.5,61.6,56.4,464,334,72
Paolo Lorenzi,All,184.5,141.5,58.5,120,0.252631579,27,71.7,72.2,54.4,475,355,74.7
Sergiy Stakhovsky,All,183.4,155.5,62.1,119,0.255913978,28,68.5,71.9,55.3,465,346,74.4
Albert Ramos,All,170.6,141.7,63.2,119,0.231968811,29,69.9,68.7,60.4,513,394,76.8
Ryan Harrison,All,193.5,164.8,55.9,133,0.258252427,29,71.2,73.1,53.1,515,382,74.2
Gilles Muller,All,183.6,157.2,61.3,87,0.142389525,31,75.7,80.7,57.7,611,524,85.8
Ivo Karlovic,All,201.4,185.1,66.8,62,0.093233083,32,76.7,82.2,63,665,603,90.7
Lleyton Hewitt,All,164.2,134,54.2,160,0.247295209,32,72.8,69.1,55.6,647,487,75.3
Lucas Pouille,All,187.2,154,56.2,133,0.215909091,32,71.1,72.6,56.3,616,483,78.4
Robin Haase,All,184.8,152.9,60.5,146,0.257042254,32,71.7,70.8,51.9,568,422,74.3
Leonardo Mayer,All,191.9,167.6,61.5,126,0.219895288,33,69.9,72.2,59,573,447,78
Marcel Granollers,All,189.5,146.6,63.2,154,0.268292683,34,67.5,69.2,56,574,420,73.2
Ernests Gulbis,All,201.7,168.9,59.2,115,0.185783522,35,70.9,76.1,61,619,504,81.4
Guillermo Garcia Lopez,All,180.4,140.5,54.7,148,0.239095315,35,63.9,72.2,55.2,619,471,76.1
Jerzy Janowicz,All,194.1,158.1,61,123,0.1816839,35,70.7,73.8,58.5,677,554,81.8
